"Gene","Mean","SD","Range"
"TGME49_500389",-1.78531957735946e-16,1,1.99999381591579
"TGME49_500167",-1.50342701251323e-17,1,1.99997080169032
"TGME49_262950",8.99743242873304e-16,1,1.99996513403659
"TGME49_268930",-3.63135447637812e-16,1,1.99996476804833
"TGME49_205420",9.83009969720191e-17,1,1.99994842677814
"TGME49_310260",-1.85037170770859e-16,1,1.99993043669858
"TGME49_315540",-4.62592926927149e-18,1,1.99992099742634
"TGME49_314250",1.26634813746307e-15,1,1.99988422160294
"TGME49_224680",-2.96059473233375e-16,1,1.99988187730937
"TGME49_215785",-6.93889390390723e-18,1,1.99987087071389
"TGME49_280580",-1.96601993944038e-17,1,1.99980073125323
"TGME49_203340",-3.86265093984169e-16,1,1.99975889775675
"TGME49_229915",5.08852219619863e-17,1,1.99971917760438
"TGME49_205430",2.10595429983584e-15,1,1.99967018083442
"TGME49_321470",1.04083408558608e-16,1,1.9996108125044
"TGME49_500439",-6.12935628178472e-17,1,1.99956444668466
"TGME49_269315",-9.25185853854297e-18,1,1.99950799982668
"TGME49_258910",6.36065274524829e-17,1,1.99948107747253
"TGME49_239880",2.53269627492614e-16,1,1.9994502178923
"TGME49_220070",7.28583859910259e-17,1,1.99944660541966
"TGME49_293420",-5.20417042793042e-17,1,1.99940387664724
"TGME49_500009",-2.76399273838971e-16,1,1.99928632219354
"TGME49_202020",7.81782046506881e-15,1,1.99923799053482
"TGME49_204300",-4.11707704965162e-16,1,1.99920480929027
"TGME49_500296",-1.85037170770859e-17,1,1.99912939663714
"TGME49_263520",-3.40005801291454e-16,1,1.99910660626688
"TGME49_230830",-1.94289029309402e-16,1,1.99908251645209
"TGME49_208810",4.37150315946155e-16,1,1.9990148413562
"TGME49_500383",-4.07081775695891e-16,1,1.99895543826295
"TGME49_212275",-8.67361737988404e-16,1,1.9989371979371
"TGME49_289930",4.39463280580791e-17,1,1.99886390951361
"TGME49_330000",-9.94574792893369e-17,1,1.99884292672942
"TGME49_297070",-3.93203987888076e-16,1,1.99876916167803
"TGME49_315480",7.86407975776153e-17,1,1.99863149722591
"TGME49_269340",-9.25185853854297e-18,1,1.99855388023506
"TGME49_272200",-9.48315500200654e-16,1,1.99846378071638
"TGME49_500108",-2.83338167742878e-15,1,1.9984601107766
"TGME49_311370",6.61507885505822e-16,1,1.99841423092745
"TGME49_265205",-8.23415409930324e-16,1,1.99836308860684
"TGME49_207130",-6.108539600073e-15,1,1.99825916182747
"TGME49_258580",-5.94431911101386e-16,1,1.99819403070854
"TGME49_269310",-1.72084568816899e-15,1,1.99811994921436
"TGME49_294980",-9.94574792893369e-17,1,1.99790973563808
"TGME49_235000",1.23281015026085e-15,1,1.99783568589873
"TGME49_259020",-3.70074341541719e-17,1,1.99772243675513
"TGME49_205140",4.62592926927149e-17,1,1.9976951481822
"TGME49_500391",1.61907524424502e-16,1,1.9975552894467
"TGME49_230135",-2.47487215906024e-16,1,1.997518419585
"TGME49_231880",6.47630097698008e-17,1,1.99745983622408
"TGME49_226230",1.36464913443509e-16,1,1.9972378208165
"TGME49_500421",-4.62592926927149e-17,1,1.99723702394869
"TGME49_294570",3.02998367137282e-16,1,1.9971500360066
"TGME49_222700",-4.62592926927149e-17,1,1.99704254222361
"TGME49_265050",-1.11022302462516e-16,1,1.99699354023361
"TGME49_320190",-1.84574577843932e-15,1,1.99684577806362
"TGME49_271050",-4.62592926927149e-18,1,1.99674187523749
"TGME49_268940",-6.01370805005293e-17,1,1.99673211758536
"TGME49_306500",9.25185853854297e-18,1,1.99672889034369
"TGME49_228220",-1.85037170770859e-17,1,1.99670961506205
"TGME49_287510",-1.85037170770859e-17,1,1.99665012665734
"TGME49_275590",2.72929826887018e-16,1,1.99661690823822
"TGME49_319390",9.25185853854297e-18,1,1.99645120969537
"TGME49_500206",2.00765330286382e-15,1,1.99627323955023
