"Gene","Mean","Median","SD","Minimum","Maximum","CV"
"BAG1",5384.276538,5384.348244,885.709686176962,4498.531001,6269.950369,16.4499293438216
"SAG1",1783.60496833333,1779.601521,487.390509841454,1298.228514,2272.98487,27.3261466801637
"ENO1",1263.465614,1271.05144,102.331815330707,1157.551979,1361.793423,8.099295635497
"LDH2",1181.19896966667,1189.715724,131.483102246398,1045.664529,1308.216656,11.1313255110189
"CST1",809.771163,813.40053,91.86051123746,716.149757,899.763202,11.3440087069957
"SRS16B",548.473817666667,547.437572,120.172838361353,428.822453,669.161428,21.9104056548398
"ENO2",321.629005666667,348.757251,66.3852052296789,245.975921,370.153845,20.6403042200988
"LDH1",294.287761333333,317.355969,61.0799159798878,225.033215,340.4741,20.7551668826295
"BRP1",178.233665,177.090061,28.3198510549119,150.502939,207.107995,15.8891705755542
"SRS22A",166.041614,188.787637,39.4739164914637,120.46109,188.876115,23.7735080625413
"ROP42",34.133771,38.918835,11.1988955477697,21.337267,42.145211,32.8088436163988
